symbol,V,DM4,DM2,DM1,VA2,DC2,D,VM3_VA5,DL5,VA1v,DA1,DL3,VA1d,VP1l_VP3,DP1m_DC4,VP4_VP1d_VP2,DL2d/v_DP1l_VC3l,VL1_VM1,DC1
O-fut1,0.3884297256042213,0.15331124144002822,0.0,0.180421061950013,0.6488547047791597,0.22569851344903502,0.0,0.0,0.25515414816365417,0.4142081967926377,0.08542249316615336,0.4192729930159234,0.0,0.34176475734367046,0.07130958845769751,0.5123673912039146,0.08081849744437775,0.0,0.26383993909893405
Tango7,0.474481308055503,0.9678457329587292,0.8314733720688364,0.9970401762424264,0.7379280816715316,1.1137513631702733,0.525526110544158,1.4243723960289265,0.7986282835815702,1.1165590160390337,1.0326946212443464,0.41552722855885454,0.2438575948977074,0.7763262098500725,0.7476933946389124,0.7447658505721593,0.819922482800802,0.3961245470477391,1.132285118258708
CG8323,0.23462854613007622,0.14651845785282935,0.08365595058189032,0.1781540914673222,0.1789099297021855,0.22769006149786009,0.0,0.4223699896729429,0.14032162485830932,0.2647583244813529,0.19460527238320613,0.0,1.6619683795631872,0.2138692108618679,0.0,0.0,0.2241300174950189,0.0,0.10294286066768464
CG18327,0.018716381543835505,0.07568935941612932,0.12984794628143786,0.0534577270819714,0.16023377540250114,0.17697256387191934,0.1335444579457406,0.0,0.0,0.0,0.0,0.0,1.0974659282595998,0.0,0.0,0.0,0.22045926436086416,0.0,0.05794558506654269
CG18324,0.3248546276252461,0.10528264642272978,0.2621331877443014,0.2185755166234115,0.3921997745666895,0.3048686672231128,0.21860614685839053,0.0,0.25006731231282514,0.06695214802830803,0.424175526725669,0.0,0.42304184546977497,0.312445195986984,0.3850282444185687,0.0,0.1970677550839779,0.0,0.053781822632329765
CG8331,1.2191350660072502,1.2614360603985986,0.797579577286627,0.9015353714106037,1.515080333769258,1.001320912220006,1.4770213083478152,1.2151703655793658,1.4126328308400238,2.0548832670415798,1.000727254335209,1.8006017315901706,0.4557463859384945,1.5003038704343123,1.1784474509307068,1.4414522158009173,0.9581115810724402,0.2881134567999741,1.4834320916376211
mRpS16,0.313514302245894,0.3955476521579461,0.32191358961597427,0.15630192302868243,0.2700027743321961,0.3117960566218809,0.2157301366893381,0.3905885923013576,0.1867135924396204,0.20701854985294205,0.16845026667630403,0.0,0.2857319668881245,0.0,0.15918664528466803,0.0,0.1516844837631487,0.0,0.23804445054764786
VGAT,0.02459038011993611,0.0,0.0,0.0,0.0,0.0,0.2761500995807442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RpS23,2.3665386947680815,1.9170365453071574,2.5561782874498538,1.9380215502836202,1.2145983020199447,1.5273970596575892,2.4677027015162936,2.424053904531697,2.566164339510443,2.4884966808800972,2.80988753688028,0.9674316639204016,2.0444843793885843,1.5465636971344503,2.2683808420739666,2.4972848199102997,1.9792500216462887,0.40002883401885403,2.731057167266163
CG8468,0.0,0.01239401620127972,0.06413198569362777,0.06379759987027223,0.0,0.04494397495851023,0.0,0.0,0.0,0.11202783960076891,0.017149249950195677,0.0,0.0,0.0,0.01424762555706869,0.0,0.056616995374422815,0.0,0.06503493491279091
CG8485,1.0612119901014265,1.2864594725219738,2.0718959435987583,1.3074535595195798,0.8821063466553293,0.9181954076514119,1.1463130944300617,1.4558145638769056,1.4892187379123751,1.0338162809801184,1.7538849759292878,0.7571261012559394,2.0368767710054008,0.9686352456167006,0.7498886779320266,0.41965807270076955,1.267233039439466,0.6239100664061691,1.6191829273900709
Usp20-33,0.0,0.26814159127815884,0.1704670295753335,0.2859968699386876,0.0,0.07348546876057013,0.30819848346534184,0.10608038102076978,0.25609740253046953,0.19449653537072326,0.4326120110854108,0.5896180722517038,0.0,0.22085224816604251,0.37814135793222015,0.0,0.2370277240163811,0.0,0.14215425616722122
SmydA-1,0.0,0.21503718279653256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0795129970355289,0.04177715866455622
CG8531,0.18497909663413917,0.2738099004650493,0.1316586526549591,0.22670655834147047,0.0,0.3376018204761077,0.0,0.21188970423696243,0.45073687717648486,0.5455251109285999,0.2735792392481113,0.2646743641163141,0.7935366301437584,0.3342564250805353,0.22963315715845997,0.23593456366603685,0.12775337464150247,0.0,0.36263198026243637
CG8547,0.2645670051217118,0.12855128974041072,0.07936001952922946,0.24243339934326372,0.28473427893201797,0.0335526646532437,0.27808906576512465,0.0,0.0,0.37530654752966663,0.19563076111181046,0.36984096012029155,0.0,0.5091943025044189,0.3043961671405289,0.49258582682260343,0.1871746205967626,0.0,0.29043932622191926
tej,0.0,0.0,0.0,0.04229612295119286,0.0,0.13389217992705538,0.0,0.0,0.02466235100376125,0.01858266881544784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CG8613,0.7132418018956633,0.5756455172366703,0.5021315931246271,0.5301166652515519,0.5107463965047825,0.40981333988131835,0.6255383940111132,0.4903824787662081,0.5350572138571827,0.3964378195887728,0.5810330591204732,0.0,0.0,0.6018511473917479,0.0983813872213957,0.48395392153922295,0.47527064720037654,0.0,0.34431790028950454
CG8617,0.17501148820223894,0.055785260498295935,0.10233796537180129,0.21693723278753416,0.49059166600570575,0.1937642041805509,0.0,0.34302079789576495,0.18733749156530477,0.37987767579778603,0.42714573135379813,0.0,0.0,0.39849770414611246,0.3681012144921961,0.3250562740330261,0.27663745649999016,0.0,0.2048085830336076
Arc1,0.8845481917401503,1.947725911153232,1.522896488718781,1.817505401849638,1.8438369446174245,1.1779816361491242,1.634713393526077,0.8977981694918823,0.8725271676015813,0.929644494265126,0.6411719243376873,0.6936459493692307,1.976123339032753,0.7878294239675164,1.4408731474732435,0.18902002842939078,1.0733655277288605,0.0,0.7463952258295249
CR10102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
