symbol,DA1,VA2,DM1,DL3,DA4l,VM4,DM3,DM4,VL2a,DP1l,V,VA1v,VA1d,VC3,VL1,DL4,DL5,DC3,VM3,DM2
CG1910,3.0069469240408755,1.6870944237131276,2.5679682971773117,3.140457407107131,2.167665229224836,1.6201274023915504,1.4706493822500712,2.4126213313001075,2.0009472727670348,1.361104275302869,1.9099822614456845,1.7252025170443546,2.237450232531513,1.9238466518185733,1.8082909695264844,2.4399302137503973,3.0152624371453265,0.8973636785165763,2.9438576969511328,1.3336309193465667
Tsf1,0.6652040311500534,0.28571815851522264,0.0,0.0,0.0,0.19256504089277965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43553756797702325,0.0,0.0,0.250822841592016,0.3301786669308495,0.0
Sodh-2,2.2245021963169647,1.355217675555817,2.5000328992155616,0.0395634909894057,3.901526174874681,1.4949830601237597,1.3745537092354936,3.494177511734536,2.0566766352962977,1.8762538801411173,0.16799558879808238,6.771242009408717,5.805569256302016,0.7873545626288841,0.6694064371759055,2.0886763321514583,3.453365020530478,1.2278896745662518,2.6703742616475097,1.4088676352071814
Pur-alpha,2.002633521099661,0.988636015952659,1.011772611552783,1.857922825188407,2.1107613869960002,2.6866565362777357,1.184928189032362,1.2810489105791436,1.5467048029292305,1.6637911156015859,1.3102164565124248,1.837444081963967,1.4983285776177235,0.22840114043588208,2.0492787583134744,1.6215876843490813,1.8242247811637662,1.1637536846657552,2.879042199430401,1.0608335401581257
Pka-R2,3.157642311582641,3.9332331964836613,3.542335980281215,3.7885487578494863,4.516994427667271,1.0692464568855617,0.7255959279557227,4.379572285857937,2.455945273819399,1.4402190475828363,2.080054590419621,2.9624974119397285,2.924923638617328,1.6048636110419956,2.917281367914567,3.0878752456054195,5.3074194311023986,1.6852398118320837,1.9905808269955105,3.3215914450408164
D19B,0.5109747000572484,1.6463653779907925,1.0294996518935284,0.818027257108174,1.705960848653087,1.4501293447292747,0.6549880636855352,1.2403849753680962,0.3089529607677198,1.029521010086084,0.39939249914804675,0.6042409625031773,0.14460319204622352,0.36699255483784515,0.5844645011801181,0.7090452790035456,1.4024439037267484,1.044716185138332,0.0,1.020709489116785
Cht4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06136833966046503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cht2,1.7259984712151766,0.2765357809219158,0.0,0.0,0.0,0.024536091420976968,0.11413803317128007,0.13434550687364513,0.30851164462459635,0.0706192466513824,0.0,0.5527765346755407,0.6879355621977864,0.6056813205965503,0.0,0.0,0.9045850809072509,0.0,0.0,0.0
Adk1,2.7189857624015565,5.206530898860504,1.0714758660597565,6.776644737624985,7.59236744835183,1.1753934570015363,2.2755978239299797,0.8939170558814841,4.992150968917599,1.3683525460602728,0.47292732797098125,4.719005157393572,5.1415114368899495,0.0,0.24743493667633415,7.698425964282045,1.4456170497443037,6.507468431339163,2.040835561066531,0.39288609010056513
Ac13E,0.25411758510054744,1.3676817267643064,1.4988196366818978,2.0864520822769763,2.2099791334382193,0.47235454345042527,0.8482715499344198,1.382386510290799,1.0655240353803606,0.8314337334744842,0.4195250963927258,0.5971742368306423,0.30959594158278175,0.269067750426867,0.0,1.6069081012684763,2.0963821505913947,0.6703986548084692,1.0011745147776387,1.050612886963168
Taf8,0.0,1.2719777239087495,2.3308224451028288,0.7428247126796088,0.0,0.5131283055347496,0.0,0.3818746504923651,1.3072095854775254,0.2761700062886969,1.1199794152441898,1.5318838720348622,0.72712366821133,1.182104198797668,0.46190803726555096,0.5184041014321958,0.9104182496695646,0.9268198618951314,1.1035212780646324,1.0177237240510537
HLH54F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sin3A,2.460541937227585,4.293531517875625,2.524189760094614,1.8523165842940945,4.033357501451313,1.914676705804433,2.872774991792821,4.277132935785226,3.46334574777468,3.3955498400324466,3.2598747287752685,3.369077887008433,2.4990063947033536,2.7934273728149153,3.2254229435085238,3.3494206746650588,5.210717383452604,2.768356746595727,4.963461146206982,2.3563629677276157
Pp2C1,1.4045915876156791,1.7936280155090412,0.9112165954393686,0.5735263060723096,0.9906110619511737,0.854581076392496,1.5439633366025884,1.0284122361530974,0.6768181121790359,1.0167521878148515,0.7254374710409505,1.2240202655541166,0.8618943427477878,1.1128513085072587,0.710639858770143,1.52799606622156,1.8130539658544016,0.44811662981096256,2.0141196032674418,0.40960407636529
Peritrophin-A,0.0,0.0,0.0,0.0,0.12873568486653333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14432774054393102,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Orc1,0.0,0.0,0.0,0.0,0.19308236484433536,0.0,0.0,0.0,0.0,0.058170655703784505,0.0,0.3548833139552943,0.0,0.2258992316080296,0.0,0.0,0.0,0.0,0.0,0.0
Oat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hira,0.6138236819650387,0.21257246088155818,0.7448284358013275,0.0,0.0,0.21995729413169818,0.5757812879142872,0.6467748210929404,0.0,0.28107739369309725,0.304083733435626,0.06905552100011497,0.43937799463277244,0.18758762034748788,0.0,0.07247692447620463,0.41554261670846976,0.43424222908135013,0.3749093956513852,0.0
Hel89B,1.732381385829694,0.3580120447591675,0.6989982070550734,0.0,1.2012826226107827,0.39420394625893723,0.5806654083252746,0.49414376002448945,1.2375272290953876,0.7530628085686316,0.7621781915828224,0.27678869447876914,1.044463821724882,0.0,0.4196822053253429,0.8371750604541122,1.3774838788651738,1.3219249990128177,0.5937376519301393,0.3190396407022473
Cad96Ca,0.0,0.3709816277951995,0.034461925909023396,0.0,0.2375410622364627,0.207016405559625,0.5998561461275262,0.1938660484983382,0.9723215314905297,0.5815728513779104,0.9522210963547956,0.24679222701491488,0.27401005161442793,0.0,0.21528075263716984,0.16835839813593326,0.0,0.6235513368135002,0.118131729737248,0.0
Df31,8.540120780812243,10.156363892952912,10.586287863807062,5.520300228429809,10.05164527524348,6.734681182835555,10.756941178144519,10.700928328687214,7.413509168334057,8.802612418068813,8.798316303917188,9.92741244006797,10.024805718511516,6.367401686391935,6.818332317563588,6.927060458436382,11.078767993675932,7.337200212667769,10.70466742900809,9.993336661289968
D19A,0.40013761115281654,1.041966390534878,1.2031576327496452,1.2200389442239528,0.7798074919014855,0.504146145082989,1.534682322693094,0.7013002347387385,1.2015549543667035,1.6389225847553193,0.46025695462247107,0.7250085498670796,0.6186031992583387,1.0503589569249485,1.204045620688105,0.13396989588999125,1.981922345349672,0.4444451374087719,1.5487161926473092,0.4066764167504014
CycH,0.0,0.0,0.3608125825645681,0.0,0.0,0.21490420933231227,0.7763454553565323,0.0702471060847507,0.0,0.17814419235032583,0.0,0.402761712900034,0.0,0.0,0.0,0.0,0.501161229525145,0.0,0.0,0.14603542772671782
Cbp80,0.5696275903246074,1.2967925680753798,1.812367826534073,0.9369063486397907,0.9186250466100929,0.7392474252712913,1.017585700124942,1.197488648896044,1.0445800244458667,0.7630341588370153,1.7362344711571627,0.5515037280646068,1.4559421477987085,0.43358857440860826,0.8302528850291534,0.8971343881450368,1.6130551521171284,0.6274092914155309,1.231884950175378,0.9323000681992347
